%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% NODE(S) / TASK(S) %%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Node list: xena-test
Number of tasks: 4

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% testParallel %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Number of processors:4

Power: 0, Valid: 10, Max Time: 0.000003, Min Time: 0.000000, Avg Time: 0.000000
Power: 1, Valid: 10, Max Time: 0.000000, Min Time: 0.000000, Avg Time: 0.000000
Power: 2, Valid: 9, Max Time: 0.000006, Min Time: 0.000002, Avg Time: 0.000003
Power: 3, Valid: 9, Max Time: 0.000003, Min Time: 0.000002, Avg Time: 0.000003
Power: 4, Valid: 9, Max Time: 0.000003, Min Time: 0.000002, Avg Time: 0.000003
Power: 5, Valid: 8, Max Time: 0.000004, Min Time: 0.000003, Avg Time: 0.000003
Power: 6, Valid: 9, Max Time: 0.000015, Min Time: 0.000004, Avg Time: 0.000005
Power: 7, Valid: 9, Max Time: 0.000007, Min Time: 0.000006, Avg Time: 0.000006
Power: 8, Valid: 9, Max Time: 0.000012, Min Time: 0.000011, Avg Time: 0.000011
Power: 9, Valid: 9, Max Time: 0.000027, Min Time: 0.000021, Avg Time: 0.000022
Power: 10, Valid: 9, Max Time: 0.000046, Min Time: 0.000040, Avg Time: 0.000042
Power: 11, Valid: 9, Max Time: 0.000109, Min Time: 0.000075, Avg Time: 0.000081
Power: 12, Valid: 9, Max Time: 0.000171, Min Time: 0.000157, Avg Time: 0.000160
Power: 13, Valid: 9, Max Time: 0.000379, Min Time: 0.000322, Avg Time: 0.000335
Power: 14, Valid: 9, Max Time: 0.000699, Min Time: 0.000670, Avg Time: 0.000675
Power: 15, Valid: 9, Max Time: 0.001439, Min Time: 0.001382, Avg Time: 0.001392
Power: 16, Valid: 9, Max Time: 0.002998, Min Time: 0.002853, Avg Time: 0.002872
Power: 17, Valid: 9, Max Time: 0.006109, Min Time: 0.005882, Avg Time: 0.005914
Power: 18, Valid: 9, Max Time: 0.012272, Min Time: 0.011753, Avg Time: 0.011822
Power: 19, Valid: 9, Max Time: 0.025166, Min Time: 0.024221, Avg Time: 0.024340
Power: 20, Valid: 9, Max Time: 0.057790, Min Time: 0.049930, Avg Time: 0.051237
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% DONE %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
