%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% NODE(S) / TASK(S) %%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Node list: xena-test
Number of tasks: 1

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% testSerial %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Power: 0, Valid: 10, Max Time: 0.000003, Min Time: 0.000000, Avg Time: 0.000000
Power: 1, Valid: 10, Max Time: 0.000000, Min Time: 0.000000, Avg Time: 0.000000
Power: 2, Valid: 10, Max Time: 0.000000, Min Time: 0.000000, Avg Time: 0.000000
Power: 3, Valid: 10, Max Time: 0.000001, Min Time: 0.000000, Avg Time: 0.000000
Power: 4, Valid: 10, Max Time: 0.000001, Min Time: 0.000001, Avg Time: 0.000001
Power: 5, Valid: 10, Max Time: 0.000003, Min Time: 0.000002, Avg Time: 0.000002
Power: 6, Valid: 10, Max Time: 0.000006, Min Time: 0.000004, Avg Time: 0.000004
Power: 7, Valid: 10, Max Time: 0.000013, Min Time: 0.000008, Avg Time: 0.000009
Power: 8, Valid: 10, Max Time: 0.000028, Min Time: 0.000017, Avg Time: 0.000018
Power: 9, Valid: 10, Max Time: 0.000061, Min Time: 0.000037, Avg Time: 0.000039
Power: 10, Valid: 10, Max Time: 0.000132, Min Time: 0.000079, Avg Time: 0.000085
Power: 11, Valid: 10, Max Time: 0.000281, Min Time: 0.000168, Avg Time: 0.000180
Power: 12, Valid: 10, Max Time: 0.000608, Min Time: 0.000360, Avg Time: 0.000386
Power: 13, Valid: 10, Max Time: 0.001299, Min Time: 0.000761, Avg Time: 0.000816
Power: 14, Valid: 10, Max Time: 0.002749, Min Time: 0.001607, Avg Time: 0.001723
Power: 15, Valid: 10, Max Time: 0.005828, Min Time: 0.003384, Avg Time: 0.003630
Power: 16, Valid: 10, Max Time: 0.012305, Min Time: 0.007107, Avg Time: 0.007629
Power: 17, Valid: 10, Max Time: 0.025970, Min Time: 0.014894, Avg Time: 0.016004
Power: 18, Valid: 10, Max Time: 0.054643, Min Time: 0.031147, Avg Time: 0.033503
Power: 19, Valid: 10, Max Time: 0.114465, Min Time: 0.065024, Avg Time: 0.070161
Power: 20, Valid: 10, Max Time: 0.243440, Min Time: 0.141543, Avg Time: 0.154635
Power: 21, Valid: 10, Max Time: 0.500945, Min Time: 0.282379, Avg Time: 0.304906
Power: 22, Valid: 10, Max Time: 1.044248, Min Time: 0.587592, Avg Time: 0.633642
Power: 23, Valid: 10, Max Time: 2.176751, Min Time: 1.220428, Avg Time: 1.316924
Power: 24, Valid: 10, Max Time: 4.523365, Min Time: 2.532391, Avg Time: 2.732978
Power: 25, Valid: 10, Max Time: 9.405856, Min Time: 5.251702, Avg Time: 5.671999
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% DONE %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
